,datadate,gvkey1,real roe,prccq,real rd,roe,rd/rev,p/e,epsfxq
290,2010,LLY,0.094225315803042,35.161343759629446,0.23243898496848228,0.09555822760411756,0.23066820688176107,33.10070064226833,1.0632804719117146
291,2011,LLY,0.06340317385265522,41.104239134375966,0.22414249330202096,0.06528464890755475,0.22255008846628468,51.926492858819856,0.8034913280471914
292,2012,LLY,0.055997400821719376,49.08143892391344,0.24559371537919225,0.05848222888448147,0.24556585663316718,64.11010506632124,0.7805693491328047
293,2013,LLY,0.04123986009625469,50.92779914389239,0.26382385346371023,0.04433588949957082,0.26117676392462774,73.02894844012671,0.7142460569349134
294,2014,LLY,0.02784619283732235,68.54509677991439,0.25206490539511456,0.0280165093513677,0.25397970451145774,168.55362917769756,0.40910342460569354
295,2015,LLY,0.03278890769895067,84.189749509678,0.3056775057667981,0.034634762875013596,0.2983932969814483,180.05222893434635,0.4780309103424606
296,2016,LLY,0.05481339441070984,74.20037797495097,0.2570262998003645,0.054304936494222085,0.2552373477191751,101.74746607615198,0.7295068030910343
297,2017,LLY,-0.14200498804412104,84.5364190377975,0.2494684045644164,-0.12382351053073418,0.2514528535090062,-33.55159724778605,-1.365767049319691
298,2018,LLY,0.10312491406257163,114.6519566419038,0.2769546174634237,0.09998470506633494,0.2740627008469138,100.29062227270764,1.0894124232950682
299,1962,MRK,,,,,,,
300,1963,MRK,,,,,,,
301,1964,MRK,,,,,,,
302,1965,MRK,,,,,,,
303,1966,MRK,,,,,,,
304,1967,MRK,,,,,,,
305,1968,MRK,,,,,,,
306,1969,MRK,,,,,,,
307,1970,MRK,,,,,,,
308,1971,MRK,0.061381547396523656,122.71928270410328,,,,,
309,1972,MRK,0.05863117490040549,88.4295093382704,,,,,
310,1973,MRK,0.06106898214602974,80.94753045093384,,,,,
311,1974,MRK,0.06299306646282107,65.0473822530451,,,,,
312,1975,MRK,0.05509134756827759,69.29592973822531,,,,,
313,1976,MRK,0.051103750194400895,69.08822959297383,,,,90.91190634553337,0.7600671061629803
314,1977,MRK,0.048114812824646254,55.7732713229593,,,,66.4555204735099,0.8399470067106163
