,datadate,gvkey1,gvkey2,score,roe_spread,rd/rev_spread,MARKCAP_1,MARKCAP_2
109,2011,AMGN,BMRN,0.1375,0.079608259,-0.322246333,51085476,3946480.2
110,2011,BMRN,BMY,0.1369,-0.087437541,0.350014333,3946480.2,59715307.68
111,2011,GILD,VRTX,0.1368,-0.072108486,-0.094171548,30824628.58,6950985.84
112,2011,REGN,AMGN,0.1363,-0.159750685,0.857218217,5027057.56,51085476
113,2011,VRTX,AMGN,0.131,0.12480108,0.060121517,6950985.84,51085476
114,2011,ALXN,REGN,0.1301,0.157546432,-0.915337041,13264608.5,5027057.56
115,2011,MRK,BMY,0.1299,-0.02732145,0.008916711,114906621.7,59715307.68
116,2011,MYL,BMY,0.1296,-0.016541936,-0.134282502,9156509.88,59715307.68
117,2011,AMGN,GILD,0.1274,-0.052692594,0.034050031,51085476,30824628.58
118,2011,UTHR,MYL,0.1255,0.010468427,0.202116662,2533072.5,9156509.88
119,2011,PFE,AMGN,0.1247,-0.026684974,-0.054814617,166345965.9,51085476
120,2011,BMRN,GILD,0.1235,-0.132300853,0.356296364,3946480.2,30824628.58
121,2011,PFE,MYL,0.1229,-0.017972321,0.107235885,166345965.9,9156509.88
122,2011,VRTX,REGN,0.121,0.284551765,-0.7970967,6950985.84,5027057.56
123,2011,AMGN,LLY,0.1202,-0.018919173,-0.010345775,51085476,48116588.72
124,2011,REGN,UTHR,0.119,-0.161506459,0.817152057,5027057.56,2533072.5
125,2011,LLY,BMRN,0.1189,0.098527432,-0.311900558,48116588.72,3946480.2
126,2011,AMGN,ALXN,0.1187,0.002204253,0.058118825,51085476,13264608.5
127,2011,GILD,LLY,0.117,0.033773421,-0.044395806,30824628.58,48116588.72
128,2011,MRK,LLY,0.1157,-0.03841134,-0.029197064,114906621.7,48116588.72
129,2011,BMRN,REGN,0.1153,0.080142426,-0.534971884,3946480.2,5027057.56
130,2011,VRTX,BMY,0.1105,0.116971797,0.087889517,6950985.84,59715307.68
131,2011,REGN,MRK,0.1097,-0.140258518,0.876069506,5027057.56,114906621.7
132,2011,MRK,GILD,0.1092,-0.072184762,0.015198742,114906621.7,30824628.58
133,2011,MYL,GILD,0.1084,-0.061405247,-0.128000471,9156509.88,30824628.58
134,2011,GILD,UTHR,0.1067,0.05093682,-0.074116192,30824628.58,2533072.5
135,2011,MYL,BMRN,0.1044,0.070895606,-0.484296835,9156509.88,3946480.2
136,2011,BMY,ALXN,0.1041,0.010033535,0.030350824,59715307.68,13264608.5
137,2011,AMGN,MRK,0.1034,0.019492167,0.018851289,51085476,114906621.7
