date,T-Bill,RMRF,SMB,HML,UMD
200411,0.15,4.54,3.91,1.80,3.23
200412,0.16,3.43,0.12,-0.07,-2.84
200501,0.16,-2.76,-1.51,1.96,3.20
200502,0.16,1.89,-0.51,1.64,3.16
200503,0.21,-1.97,-1.38,1.59,0.54
200504,0.21,-2.61,-3.98,-0.35,-0.87
200505,0.24,3.65,2.88,-0.81,0.44
200506,0.23,0.57,2.62,2.63,2.05
200507,0.24,3.92,2.93,-0.51,-0.01
200508,0.30,-1.22,-0.92,1.27,2.27
200509,0.29,0.49,-0.58,0.76,3.46
200510,0.27,-2.02,-1.21,0.23,-1.29
200511,0.31,3.61,0.91,-1.19,0.25
200512,0.32,-0.25,-0.45,0.44,0.77
200601,0.35,3.04,5.41,1.12,2.68
200602,0.34,-0.30,-0.37,-0.25,-1.84
200603,0.37,1.46,3.55,0.60,1.26
200604,0.36,0.73,-1.34,2.60,0.61
200605,0.43,-3.57,-3.04,2.55,-3.65
200606,0.40,-0.35,-0.35,0.88,1.48
200607,0.40,-0.78,-4.07,2.94,-2.22
200608,0.42,2.03,0.90,-1.71,-3.46
200609,0.41,1.84,-1.37,0.05,-0.94
200610,0.41,3.23,1.72,-0.04,-0.23
200611,0.42,1.71,0.86,0.07,-1.01
200612,0.40,0.87,-1.10,3.15,0.84
200701,0.44,1.40,0.11,-0.11,0.21
200702,0.38,-1.96,1.32,-0.09,-1.35
200703,0.43,0.68,-0.05,-0.22,2.49
200704,0.44,3.49,-2.07,-1.15,-0.16
200705,0.41,3.24,0.02,-0.04,-0.27
200706,0.40,-1.96,0.78,-1.12,0.37
200707,0.40,-3.73,-2.51,-3.33,2.80
200708,0.42,0.92,-0.13,-2.24,0.11
200709,0.32,3.22,-2.29,-1.86,4.59
200710,0.32,1.80,0.22,-2.60,4.96
200711,0.34,-4.83,-2.62,-1.18,0.93
200712,0.27,-0.87,0.20,-0.51,6.52
200801,0.21,-6.36,-0.90,3.65,-7.89
200802,0.13,-3.09,-0.24,-0.94,6.11
200803,0.17,-0.93,0.95,-0.14,4.10
200804,0.18,4.60,-1.64,-0.95,-0.20
200805,0.18,1.86,3.22,-1.38,3.21
200806,0.17,-8.44,1.28,-2.42,12.53
200807,0.15,-0.77,2.45,5.88,-5.14
200808,0.13,1.53,3.61,1.52,-4.04
200809,0.15,-9.24,-1.16,6.33,0.35
200810,0.08,-17.23,-2.32,-2.89,7.79
200811,0.03,-7.86,-2.96,-6.02,7.10
200812,0.00,1.74,3.61,-0.25,-5.08
200901,0.00,-8.12,0.08,-11.18,-1.84
200902,0.01,-10.10,0.22,-7.27,4.16
200903,0.02,8.95,-0.08,3.56,-11.38
200904,0.01,10.19,4.77,5.53,-34.39
200905,0.00,5.21,-2.34,-0.23,-12.44
200906,0.01,0.43,2.62,-2.72,5.29
200907,0.01,7.72,2.07,5.28,-5.36
200908,0.01,3.33,-0.90,7.75,-8.84
200909,0.01,4.08,2.46,0.93,-4.93
200910,0.00,-2.59,-4.23,-4.18,2.66
200911,0.00,5.56,-2.50,-0.17,0.29
200912,0.01,2.75,6.10,0.00,2.91
201001,0.00,-3.36,0.38,0.30,-5.38
201002,0.00,3.40,1.21,3.16,3.60
201003,0.01,6.31,1.43,2.11,3.66
201004,0.01,2.00,4.97,2.81,3.22
201005,0.01,-7.89,0.05,-2.38,-0.13
201006,0.01,-5.56,-1.97,-4.50,-3.00
